Datasize,Insertion Sort Time,Selection Sort Time,Python Sort Time,Quick Sort Time
662,0.027,0.035,0.0,0.002
282,0.004,0.006,0.0,0.001
647,0.024,0.034,0.0,0.003
68,0.0,0.0,0.0,0.0
982,0.067,0.08,0.0,0.004
105,0.001,0.001,0.0,0.0
452,0.012,0.018,0.0,0.002
368,0.008,0.011,0.0,0.001
496,0.014,0.02,0.0,0.002
461,0.013,0.017,0.0,0.002
6572,3.16,4.772,0.001,0.031
95,0.001,0.001,0.0,0.0
8149,4.403,5.791,0.001,0.045
1097,0.179,0.14,0.0,0.022
4551,1.813,2.12,0.001,0.024
8289,4.958,5.714,0.001,0.038
7524,3.606,4.764,0.0,0.036
8520,5.063,6.577,0.001,0.042
1200,0.094,0.145,0.0,0.004
2101,0.303,0.359,0.0,0.01
7254,3.331,4.283,0.0,0.035
3176,1.024,0.87,0.0,0.013
4748,1.478,1.926,0.0,0.022
2847,0.511,0.663,0.0,0.012
4529,1.75,1.812,0.0,0.021
8895,4.989,6.978,0.001,0.042
5216,1.838,2.357,0.001,0.026
5886,2.23,4.12,0.0,0.031
4932,1.661,2.186,0.0,0.038
6451,2.86,3.439,0.0,0.034
4127,1.211,1.37,0.0,0.019
1954,0.243,0.313,0.0,0.008
8171,5.075,6.256,0.001,0.042
1487,0.141,0.186,0.0,0.006
5636,2.116,2.65,0.001,0.027
7552,3.651,5.68,0.001,0.037
9875,9.547,8.233,0.001,0.061
3406,0.759,0.945,0.0,0.015
5069,1.702,2.436,0.0,0.023
611,0.022,0.032,0.0,0.002
42,0.0,0.0,0.0,0.0
421,0.01,0.014,0.0,0.001
86,0.0,0.001,0.0,0.0
992,0.062,0.082,0.0,0.004
884,0.048,0.063,0.0,0.003
2767,1.069,1.51,0.001,0.014
3465,2.002,1.141,0.002,0.03
818,0.056,0.103,0.0,0.003
848,0.055,0.073,0.0,0.003
4298,1.507,2.899,0.0,0.024
3230,0.838,1.187,0.0,0.017
4987,1.756,2.056,0.0,0.032
1365,0.123,0.163,0.0,0.006
3963,1.016,1.367,0.0,0.018
4479,2.045,2.037,0.0,0.035
3911,1.035,1.439,0.0,0.018
2043,0.316,0.352,0.0,0.008
129,0.001,0.001,0.0,0.0
754,0.033,0.046,0.0,0.003
787,0.037,0.054,0.0,0.003
2545,0.394,0.542,0.0,0.01
1642,0.171,0.224,0.0,0.007
3721,0.891,1.443,0.0,0.016
4400,1.284,1.579,0.0,0.021
1501,0.141,0.191,0.0,0.006
2332,0.336,0.489,0.0,0.01
2675,0.482,0.58,0.0,0.016
553,0.019,0.026,0.0,0.002
3371,0.881,0.972,0.0,0.017
2262,0.367,0.424,0.0,0.01
4024,1.067,1.352,0.0,0.019
2313,0.336,0.439,0.0,0.01
1999,0.254,0.326,0.0,0.008
3294,0.679,0.879,0.0,0.014
3996,1.003,1.295,0.0,0.018
4475,1.259,1.609,0.0,0.022
2951,0.56,0.769,0.0,0.013
3678,0.857,1.092,0.0,0.017
1750,0.206,0.254,0.0,0.007
1173,0.092,0.113,0.0,0.005
3500,0.819,1.187,0.0,0.016
3121,0.765,0.892,0.0,0.017
2107,0.449,0.461,0.0,0.011
4014,1.439,1.321,0.0,0.053
5804,2.218,2.853,0.001,0.027
8442,4.496,6.793,0.001,0.041
9142,5.663,7.56,0.001,0.047
6558,2.705,3.566,0.0,0.035
7720,5.347,4.901,0.001,0.035
3266,0.764,0.986,0.0,0.017
9701,6.812,8.467,0.001,0.056
6805,2.923,3.963,0.0,0.033
9010,5.817,7.86,0.001,0.044
5664,4.182,6.791,0.0,0.059
2190,0.942,1.116,0.0,0.026
746,0.346,1.373,0.0,0.077
2590,1.249,1.272,0.001,0.284
2475,1.282,0.851,0.001,0.021
4849,2.484,5.726,0.0,0.042
8282,8.082,5.835,0.001,0.103
6998,3.346,4.441,0.001,0.034
5143,1.674,2.172,0.0,0.026
4596,1.562,2.05,0.001,0.019
1577,0.158,0.312,0.0,0.007
3538,1.104,1.018,0.0,0.022
8932,5.722,7.675,0.001,0.046
6945,3.12,4.215,0.001,0.033
8903,5.424,6.862,0.001,0.045
2639,0.46,0.631,0.0,0.011
2049,0.264,0.553,0.0,0.01
9099,5.92,7.939,0.001,0.057
9751,6.045,8.036,0.001,0.056
9839,6.814,9.325,0.002,0.053
846,0.043,0.063,0.0,0.003
656,0.069,0.092,0.0,0.004
9402,8.716,7.451,0.001,0.387
1591,0.161,0.207,0.0,0.006
7505,3.657,5.909,0.001,0.036
5167,2.06,3.065,0.0,0.03
8854,9.211,11.342,0.002,0.086
2757,1.332,0.914,0.0,0.018
6991,6.218,4.709,0.001,0.058
8923,5.073,7.008,0.001,0.046
